modelo,tipo_modelo,MAE_global,RMSE_global,R2_global
RandomForestRegressor,regresion_multisalida_global,1.176133439207795,2.464409588246145,0.8837590694895597
XGBRegressor,regresion_multisalida_global,1.1596097946166992,2.4005470566335627,0.8805100321769714
