tipo_modelo,variable_objetivo,modelo,hiperparametros,MAE,RMSE,R2
regresion_por_separado,CO,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}",0.5173356640842234,1.1397264148823392,0.7611138210002946
regresion_por_separado,CO,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 100}",0.5186962809359105,1.199182265015111,0.7355398802212694
regresion_por_separado,CO,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}",0.518376189426216,1.1988656185260576,0.7356795242352927
regresion_por_separado,CO,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 300}",0.518455539169176,1.1988314658456976,0.7356945836781527
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': None, 'n_estimators': 100}",2.602140420579828,4.077229694783937,0.8745523197628375
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': None, 'n_estimators': 200}",2.5963792949503186,4.063556362141094,0.8753923076017883
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': None, 'n_estimators': 300}",2.5930922748514136,4.062763311630077,0.875440940150408
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 100}",4.958024792491628,6.743385999005028,0.656846591147393
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 200}",4.966427606957005,6.7557996901953965,0.6555820272275333
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 300}",4.965528529605865,6.751718800678804,0.6559979978744059
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 100}",3.341418483339972,4.8341920529195805,0.8236481264847096
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}",3.3466045206817165,4.83352727889219,0.8236966252134251
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 300}",3.344503826335041,4.830590715305821,0.8239107830203063
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 15, 'n_estimators': 100}",2.7495846192846543,4.207480821247517,0.866409194722763
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 15, 'n_estimators': 200}",2.749686452582673,4.202272798659758,0.8667397076186206
regresion_por_separado,NOX,RandomForestRegressor,"{'max_depth': 15, 'n_estimators': 300}",2.749027142959641,4.201968071287872,0.8667590336301744
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",5.658029016347552,7.369459004386537,0.590170239540146
